image_path,label_path,source_dataset,source_video,location,split,has_pothole,bbox_count
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000001.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000001.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000004.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000004.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000007.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000007.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000010.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000010.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000076.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000076.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000078.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000078.txt,RDD2022,,China_MotorBike,train,1,1
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000088.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000088.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000091.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000091.txt,RDD2022,,China_MotorBike,train,1,2
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000097.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000097.txt,RDD2022,,China_MotorBike,train,0,0
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000099.jpg,datasets/processed/pothole/labels/train/RDD2022__China_MotorBike_000099.txt,RDD2022,,China_MotorBike,train,1,1
