filename,duplicate_group,distance_to_representative,status
datasets/raw/rdd2022/converted/images/China_MotorBike_000000.jpg,dup-00001,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000001.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000002.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000003.jpg,dup-00002,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000004.jpg,dup-00003,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000005.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000006.jpg,dup-00004,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000007.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000008.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000009.jpg,dup-00005,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000010.jpg,dup-00006,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000011.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000012.jpg,dup-00007,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000013.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000014.jpg,dup-00008,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000015.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000016.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000017.jpg,dup-00009,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000018.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000019.jpg,dup-00010,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000020.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000021.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000022.jpg,dup-00011,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000023.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000024.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000025.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000026.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000027.jpg,dup-00012,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000028.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000029.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000030.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000031.jpg,dup-00013,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000032.jpg,dup-00014,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000033.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000034.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000035.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000036.jpg,dup-00015,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000037.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000038.jpg,dup-00016,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000039.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000040.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000041.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000042.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000043.jpg,dup-00017,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000044.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000045.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000046.jpg,dup-00018,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000047.jpg,dup-00019,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000048.jpg,dup-00020,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000049.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000050.jpg,dup-00021,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000051.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000052.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000053.jpg,dup-00022,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000054.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000055.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000056.jpg,dup-00023,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000057.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000058.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000059.jpg,dup-00016,3,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000060.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000061.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000062.jpg,dup-00024,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000063.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000064.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000065.jpg,dup-00025,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000066.jpg,dup-00026,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000067.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000068.jpg,dup-00027,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000069.jpg,dup-00028,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000070.jpg,dup-00029,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000071.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000072.jpg,dup-00030,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000073.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000074.jpg,dup-00014,6,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000075.jpg,dup-00027,18,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000076.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000077.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000078.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000079.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000080.jpg,dup-00031,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000081.jpg,dup-00032,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000082.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000083.jpg,dup-00033,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000084.jpg,dup-00034,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000085.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000086.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000087.jpg,dup-00035,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000088.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000089.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000090.jpg,dup-00036,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000091.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000092.jpg,dup-00037,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000093.jpg,dup-00038,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000094.jpg,dup-00008,10,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000095.jpg,dup-00039,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000096.jpg,dup-00040,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000097.jpg,dup-00041,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000098.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000099.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000100.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000101.jpg,dup-00015,9,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000102.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000103.jpg,dup-00042,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000104.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000105.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000106.jpg,,,unique
datasets/raw/rdd2022/converted/images/China_MotorBike_000107.jpg,dup-00043,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000108.jpg,dup-00044,0,near_duplicate
datasets/raw/rdd2022/converted/images/China_MotorBike_000109.jpg,dup-00045,0,near_duplicate
