filename,width,height,blur_score,brightness,duplicate_group,status
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000001.jpg,512,512,3652.3792,144.9392,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000004.jpg,512,512,2931.452,145.9895,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000007.jpg,512,512,8164.4262,143.4677,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000010.jpg,512,512,7105.9623,154.0296,dup-00002,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000076.jpg,512,512,9500.4819,150.2192,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000078.jpg,512,512,2855.1113,145.3787,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000088.jpg,512,512,5347.2213,145.3012,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000091.jpg,512,512,7535.639,142.4194,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000097.jpg,512,512,3822.343,153.9012,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000099.jpg,512,512,10425.8556,153.3399,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000103.jpg,512,512,16843.7882,150.143,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000110.jpg,512,512,9400.6133,152.1092,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000113.jpg,512,512,3042.8524,139.7657,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000125.jpg,512,512,6763.1594,148.1278,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000127.jpg,512,512,3978.5946,146.4794,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000138.jpg,512,512,2839.6199,146.146,dup-00003,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000140.jpg,512,512,5626.5455,156.5892,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000147.jpg,512,512,15262.6947,148.4664,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000148.jpg,512,512,5111.8466,155.3731,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000203.jpg,512,512,2572.7477,147.0879,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000208.jpg,512,512,10597.1043,155.6679,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000210.jpg,512,512,3262.6752,146.903,dup-00001,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000229.jpg,512,512,8869.6057,150.8073,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000234.jpg,512,512,7677.0576,143.0986,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000236.jpg,512,512,11719.0347,148.8249,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000277.jpg,512,512,12109.9115,151.8448,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000296.jpg,512,512,7286.7308,151.1891,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000304.jpg,512,512,6283.3746,153.1465,dup-00004,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000316.jpg,512,512,8713.0464,150.3502,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000322.jpg,512,512,7896.5939,149.0243,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000323.jpg,512,512,8360.0808,149.3521,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000328.jpg,512,512,4343.5313,154.3843,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000334.jpg,512,512,7640.553,143.7114,dup-00005,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000336.jpg,512,512,7165.2493,136.5437,dup-00006,near_duplicate
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000337.jpg,512,512,3110.7472,157.3574,,ok
datasets/processed/pothole/images/train/RDD2022__China_MotorBike_000343.jpg,512,512,5489.1312,144.7855,dup-00007,near_duplicate
